Boton,Modulo,Opcion,Detalle,Acción,Estado,Observaciones
Sistema,Login,Barra de estado de carga del sistema,"La barra debe cargar antes de que aparezca la pantalla de logui, porque cuando el usuario ingresa sus datos se deben controlar, y por lo tanto llamar a los JPA, produciendo que aparezca la barra de esta cargado. No figura el progreso de la barra solo el form en blanco.",Reparar,Sin Comenzar,
,Presupuesto,Crear Presupuesto,"Al crear un presupuesto, despues de cargar el cliente, si no existen tipo de tramites registrados en el sistema, debería mostrar un cartel.",Reparar,Arreglado,
Administración,Usuarios,Dar Alta Usuario,Al dar de alta el usuario limpiar el formulario,Reparar,Arreglado,
Gestiones,Gestion,Iniciar Gestion,Solo debe traer clientes,Reparar,Arreglado,
Gestiones,Presupuesto,Buscar Presupuesto,"Explota al buscar por Persona, el getDto() de Persona",Reparar,Arreglado,Sigue pasando
Gestiones,Gestion,Buscar Gestion,No funcion por documento,Reparar,Arreglado,
Gestiones,Documentacion,Documentacion,Botones desordenados!,Reparar,Arreglado,
Gestiones,Inscripciones,Inscripciones,Botones desordenados!,Reparar,Arreglado,
Administración,Tramites,Tramites,Botones desordenados!,Reparar,Arreglado,
Administración,Documentos,Documentos,Botones desordenados!,Reparar,Arreglado,
Administración,Plantillas Presupuesto,Plantillas Presupuesto,Botones desordenados!,Reparar,Arreglado,
Clientes,Clientes,dar alta persona,Alinear bien campos,Reparar,Arreglado,
Clientes,Clientes,modificar persona,Alinear bien campos,Reparar,Arreglado,
Clientes,Clientes,buscar persona,Alinear bien campos,Reparar,Arreglado,
Clientes,Clientes,Dar Alta cliente,Alinear bien campos,Reparar,Arreglado,
Clientes,Clientes,Dar Alta cliente,para casado y viudo habilitar las nupcias!,Reparar,Arreglado,
Clientes,Clientes,Buscar Cliente o persona,El boton en lugar de cancelar deberia ser cerrar,Reparar,Arreglado,
Clientes,Clientes,Buscar Cliente o persona,"Al mostrar los datos de la persona o cliente, cambiar boton cancelar a cerrar",Reparar,Arreglado,
